date,price,spread,inflation,investments,gdp,production
2018-01-01,10.0,100.6236168488802,0.0,481.19318341866096,84.5,1015.6666666666666
2018-01-02,7.4,100.1925634732647,2.98,596.0024264825392,92.0,1017.8
2018-01-03,7.166666666666667,100.59706444670674,4.633333333333334,300.387785568272,87.0,1018.6666666666666
2018-01-04,8.666666666666666,100.95140541184924,1.2333333333333334,542.433541151056,71.33333333333333,1017.1666666666666
2018-01-05,6.0,100.36749351090252,3.6999999999999997,377.3690442254193,86.83333333333333,1016.5
2018-01-06,7.0,100.52824583038834,1.48,597.8617965891347,82.8,1018.0
2018-01-07,7.0,100.1730995149721,6.3,380.06025950678867,78.6,1020.0
2018-01-08,8.857142857142858,100.25871754698245,7.142857142857143,510.8179955695074,63.714285714285715,1018.7142857142857
2018-01-09,14.0,100.80152887903064,12.5,563.5960486146852,51.25,1017.0
2018-01-10,11.0,100.86544805316952,7.3999999999999995,528.7075876258577,62.0,1015.6666666666666
2018-01-11,15.714285714285714,100.10968240020476,10.571428571428571,540.6024123710908,51.285714285714285,1016.1428571428571
2018-01-12,14.0,100.98700831139678,13.228571428571428,354.6996726516882,74.0,1015.5714285714286
2018-01-13,15.833333333333334,100.94375530142919,4.633333333333334,567.6847310104184,75.16666666666667,1013.3333333333334
2018-01-14,12.833333333333334,100.03146190081229,0.6166666666666667,596.1154293422057,88.16666666666667,1015.1666666666666
2018-01-15,14.714285714285714,100.33260295651854,0.5285714285714286,527.1443641295728,71.85714285714286,1015.8571428571429
2018-01-16,13.833333333333334,100.03810350004247,0.0,445.4967595104916,86.66666666666667,1016.6666666666666
2018-01-17,16.5,100.19888801826343,5.250000000000001,562.002082110587,80.83333333333333,1015.8333333333334
2018-01-18,13.833333333333334,100.14119930941686,8.950000000000001,665.9034903380027,92.16666666666667,1014.5
2018-01-19,12.5,100.01206954615029,5.883333333333333,639.5251575771659,76.66666666666667,1021.6666666666666
2018-01-20,11.285714285714286,100.98990159675392,8.471428571428572,590.0140288664771,75.28571428571429,1020.2857142857143
2018-01-21,11.2,100.86509894483942,2.22,392.9145312221858,77.0,1021.0
2018-01-22,9.5,100.80140170378495,3.0833333333333335,492.64826628157687,79.66666666666667,1021.8
